year,snow_ha
2000.0,9224.792450318631
2001.0,10268.76094294118
2002.0,9754.067363737748
2003.0,7119.264109013481
2004.0,9296.2288992402
2005.0,8879.917616574758
2006.0,11428.14284094363
2007.0,10142.757980618877
2008.0,8378.602839816178
2009.0,6739.36375653799
2010.0,9420.071156605398
2011.0,7790.492333890933
2012.0,6781.519491850491
2013.0,8552.453799687502
2014.0,8779.894991862748
2015.0,7044.888596225493
2016.0,8608.236268860299
2017.0,6191.780726121321
2018.0,6819.4563838112745
2019.0,6365.29072901348
2020.0,7418.497056023285
2021.0,7899.425905049022
2022.0,4866.14791574142
2023.0,6236.218772009802
2024.0,6279.974391280636
2025.0,6904.716029712011
